Farm_Area(acres),Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Water_Usage(cubic meters)
0.5393280253499214,1.1956865720135146,-0.1320081506942068,-0.9551564553596843,0.73816939641741
-1.7120684365460537,-0.05005130830724993,1.3776595301171994,1.1997586172352668,0.44463932154813085
0.37000052136089895,-0.7376099010065439,-1.2905903243401695,0.4829674076295701,0.6970578616200128
0.9074722477582324,-0.5860512864868072,1.3706378199738902,0.5314094745934187,-0.419513180335614
-0.8651410963117004,1.2659210519129047,1.461920051836906,1.2277641871987421,1.3706214021522616
-1.7567732161614693,0.5598797013453499,-0.1039213101209713,0.8417414660805738,-0.37924970710008593
0.7614752770531064,-1.1368374709609728,-0.01966078840126484,1.3526538910899142,-0.5980047602462415
1.5189206029843176,0.10150730621248702,-1.044830469324359,-1.7279588048923311,-1.7536207195278346
0.9738410939944092,-1.6026029692411399,1.7778970082858043,-1.755964374855806,0.12885216923554757
-0.5114878883654366,-1.0074581658831485,0.190990515898001,-0.7424655050965366,1.2670111758425455
0.1810376927758026,1.151327953129689,-0.8131140345951667,0.43830987714727243,-1.8841321699291858
-0.7944249457369098,-0.7006443852700228,-0.08987788983435356,-1.4365494958129295,1.1949263135780201
0.5371543731806147,0.131079718801704,-1.1010041504708301,-1.6363730220388049,-0.4002059788886408
-0.06480236757282928,-1.4399547000004467,0.7386839070760927,-1.1867700880305851,0.564220077209498
0.3636244749975982,0.1791348892591815,-0.17413841155406,0.12949170025273765,-0.8561578118317145
-1.4110176110970214,-1.0037616143094965,-1.4380462373496556,-0.834808195246373,-1.1704589113157016
0.21045445213375857,0.3639624679417875,-1.1150475707574479,1.5623172121678215,1.16991609263701
-0.9182506643151037,0.0017004137238799519,-1.1431344113306834,-0.7863661282825243,-1.4102595253882055
1.4923295914464607,-1.4103822874112297,-0.7639620635920046,0.9764709648237777,-0.0892897157651761
-1.4209439560035237,-0.4788512908508957,0.6474016752130771,-0.6213603376869151,1.3247986612296012
0.884576444908198,0.38614177738370037,-1.044830469324359,0.15976799210514317,-1.1107696784419383
-1.1759009014503043,0.7557969347489123,0.872096399798961,0.27557480844059346,-0.5131330265597905
-1.7338049582391244,1.8647624068445479,0.4156852404838849,-0.675857663021245,-0.5506077888402339
1.6586139823984531,0.5192176340351765,-0.07583446954773582,0.560171951853204,0.17260495823764757
-1.2992918895946368,0.6596865938339573,0.8229444287957988,-1.5833895112970955,-0.4770661428005801
-0.6715411430987488,0.34917626164717896,0.015447762315279362,-0.18386792041965785,0.33767241644831714
0.870447705807702,-1.6284788302567048,1.6585279358495537,-0.34433226723740606,-0.6432469365260669
0.00888444096668102,0.8925693429740408,-0.14605157098082452,1.5865382456497459,0.9109990817065939
0.24313168974567512,-1.1516236772555812,1.6725713561361717,0.7448573321528765,-1.2417583255631177
0.22864067528362786,1.4803210431847278,-1.1431344113306834,0.26043666251439085,1.3590875426142335
-0.8607937919730863,0.3639624679417875,-0.7288535128754602,-1.150438537807699,-0.9864762346779175
0.6916285873460386,1.2917969129284697,0.3805766897673404,-0.20581823201265168,0.5504276841279334
1.3896607539828556,1.0663072669356903,-1.009721918607815,1.4692176147216747,1.3683009960526606
0.06634131330869852,-0.05744441145455401,1.6795930662794805,-1.0702063643988247,1.3345471085060971
0.08018023211995344,1.3546382896805558,-0.7358752230187691,0.559415044556894,-0.48586945899611156
1.3853134496442416,-0.20530647440063893,0.7527273273627104,-1.09972574895492,-0.6613329886030447
-0.7163183777864749,-1.3771133232483608,1.426811501120361,0.99085220345367,0.6269599605421649
1.2770655716127486,0.2974245396160494,0.5490977332067533,1.4298584353135482,-0.765380398243038
-0.24985262225317315,1.8684589584182005,0.3595115593374139,-1.251107208216947,0.9567918125870913
-0.6386465402699015,-0.7597892104484566,-0.7288535128754602,1.448024210424991,-1.65672459178701
0.8392195696419901,1.2104727783081228,1.820027269145658,0.6018018531502611,1.0553314532542821
1.1884530181773294,-1.5249753861944453,-1.2765469040535518,-0.05822130923217561,-0.8528263266572595
-1.2764685418169124,-1.3142719464962747,0.4227069506271936,-1.1814717369564145,1.4090060985506387
-1.2378499882755563,-0.09810647876472744,0.0926865738916768,-0.17327121827131595,-0.5968625261723042
0.5196927007538475,0.12368661565439992,-1.2976120344834783,-0.6599626097987321,-0.7135048911621186
-1.0300488408897985,-1.1479271256819292,-0.9746133678912706,0.3414257432195752,0.8610957160384443
0.6716309873884134,-0.38643750150959266,0.19801222604131002,0.33385667025647375,1.121322794982302
-1.2866122519403453,1.6392727608517688,0.4227069506271936,-0.4941999119068126,-1.8839684114275055
1.5027631218591349,-0.9630995469993233,-1.5855021503591418,0.9424101364898214,-0.1053843607233041
0.2701574317173934,-0.305113366889246,-1.1501561214739922,1.368548944312427,1.2414444723913005
